"Decision";"Maximin";"Hurwicz";"Laplace";"Savage";"Sum"
"S1";5;5;7;7;24
"S23";4;4;6;6;20
"S4";7;7;5;5;24
"M1a";6;6;3;3;18
"M1b";3;3;2;1;9
"M1c";1;1;1;2;5
"M2";2;2;4;4;12
