"Decision";"Maximin";"Hurwicz";"Laplace";"Savage";"Sum"
"S1";2;2;7;7;18
"S23";4;4;5;5;18
"S4";7;7;6;6;26
"M1a";6;6;4;4;20
"M1b";5;5;2;2;14
"M1c";3;3;1;1;8
"M2";1;1;3;3;8
